序号,汉字,拼音
1371,徽,hui
1372,惯,guan
1373,循,xun
1374,蓝,lan
1375,烧,shao
1376,触,chu
1377,陕,shan
1378,拖,tuo
1379,伯,bo
1380,盲,mang
1381,宪,xian
1382,净,jing
1383,卢,lu
1384,炭,tan
1385,籍,ji
1386,秦,qin
1387,粉,fen
1388,妻,qi
1389,爆,bao
1390,欣,xin
1391,释,shi
1392,玩,wan
1393,俊,Jun
1394,欠,qian
1395,蛋,dan
1396,猛,meng
1397,迪,di
1398,苗,miao
1399,暂,zan
1400,貌,mao
1401,遵,zun
1402,锡,xi
1403,楚,chu
1404,桂,gui
1405,昆,kun
1406,皇,huang
1407,杜,du
1408,醒,xing
1409,燃,ran
1410,凤,feng
1411,截,jie
1412,铺,pu
1413,液,ye
1414,撤,che
1415,胶,jiao
1416,慢,man
1417,杭,hang
1418,虚,xu
1419,辞,ci
1420,曼,man
1421,毅,yi
1422,咨,zi
1423,俗,su
1424,糖,tang
1425,忽,hu
1426,姐,jie
1427,芳,fang
1428,耗,hao
1429,妈,ma
1430,谊,yi
1431,浦,pu
1432,频,pin
1433,阻,zu
1434,允,yun
1435,宅,zhai
1436,窗,chuang
1437,默,mo
1438,胀,zhang
1439,弃,qi
1440,倡,chang
1441,灭,mie
1442,甲,jia
1443,症,zheng
1444,埃,ai
1445,滨,bin
1446,赏,shang
1447,莱,lai
1448,拒,ju
1449,淡,dan
1450,坛,tan
1451,陵,ling
1452,绘,hui
1453,虎,hu
1454,竹,zhu
1455,赢,ying
1456,锋,feng
1457,篮,lan
1458,迷,mi
1459,纽,niu
1460,轿,jiao
1461,贩,fan
1462,递,di
1463,娘,niang
1464,圈,quan
1465,挖,wa
1466,炉,lu
1467,替,ti
1468,幼,you
1469,乃,nai
1470,郊,jiao
1471,颇,po
1472,戴,dai
1473,滑,hua
1474,徒,tu
1475,崇,chong
1476,涛,tao
1477,焦,jiao
1478,凝,ning
1479,墙,qiang
1480,吧,ba
1481,炎,yan
1482,刀,dao
1483,玻,bo
1484,寿,shou
1485,履,lv
1486,圣,sheng
1487,昨,zuo
1488,酸,suan
1489,朗,lang
1490,媒,mei
1491,桑,sang
1492,铜,tong
1493,仲,zhong
1494,亦,yi
1495,诞,dan
1496,揭,jie
1497,纵,zong
1498,漫,man
1499,愈,yu
1500,辟,pi
1501,赠,zeng
1502,旱,han
1503,奶,nai
1504,泳,yong
1505,枪,qiang
1506,骗,pian
1507,虫,chong
1508,池,chi
1509,镜,jing
1510,浓,nong
1511,拆,chai
1512,艾,ai
1513,扫,sao
1514,娱,yu
1515,钻,zuan
1516,碍,ai
1517,寒,han
1518,迟,chi
1519,邻,lin
1520,曹,cao
1521,盗,dao
1522,穆,mu
1523,豆,dou
1524,赚,zuan
1525,晨,chen
1526,浩,hao
1527,彭,peng
1528,耳,er
1529,瓜,gua
1530,扭,niu
1531,脸,lian
1532,燕,yan
1533,摇,yao
1534,寄,ji
1535,仿,fang
1536,炮,pao
1537,晋,jin
1538,泪,lei
1539,欲,yu
1540,饱,bao
1541,壁,bi
1542,锁,suo
1543,刷,shua
1544,柬,jian
1545,诊,zhen
1546,磨,mo
1547,捕,bu
1548,寨,zhai
1549,滚,gun
1550,膨,peng
1551,孔,kong
1552,添,tian
1553,帝,di
1554,辖,xia
1555,炸,zha
1556,旨,zhi
1557,吁,xu
1558,址,zhi
1559,驶,shi
1560,抱,bao
1561,嘉,jia
1562,拜,bai
1563,扰,rao
1564,袋,dai
1565,佩,pei
1566,阴,yin
1567,辈,bei
1568,锅,guo
1569,赖,lai
1570,剩,sheng
1571,押,ya
1572,怪,guai
1573,浮,fu
1574,枚,mei
1575,栏,lan
1576,毁,hui
1577,柳,liu
1578,恐,kong
1579,敦,dun
1580,孟,meng
1581,旁,pang
1582,仓,cang
1583,岩,yan
1584,伸,shen
1585,岭,ling
1586,耐,nai
1587,懂,dong
1588,捷,jie
1589,璃,li
1590,溪,xi
1591,暖,nuan
1592,纤,xian
1593,汗,han
1594,疫,yi
1595,巧,qiao
1596,旋,xuan
1597,侧,ce
1598,冶,ye
1599,陪,pei
1600,鸣,ming
1601,瓶,ping
1602,纲,gang
1603,挤,ji
1604,旬,xun
1605,舆,yu
1606,喝,he
1607,陷,xian
1608,缘,yuan
1609,稻,dao
1610,饲,si
1611,滩,tan
1612,隔,ge
1613,慰,wei
1614,朴,pu
1615,隐,yin
1616,灌,guan
1617,拟,ni
1618,偷,tou
1619,闲,xian
1620,赫,he
1621,恰,qia
1622,慧,hui
1623,蒋,jiang
1624,闹,nao
1625,邹,zou
1626,牵,qian
1627,柴,chai
1628,刺,ci
1629,滞,zhi
1630,彰,zhang
1631,俱,ju
1632,勘,kan
1633,填,tian
1634,琛,chen
1635,尝,chang
1636,贾,jia
1637,搬,ban
1638,淮,huai
1639,奏,zou
1640,荷,he
1641,滋,zi
1642,覆,fu
1643,役,yi
1644,秒,miao
1645,踏,ta
1646,巩,gong
1647,摸,mo
1648,荡,dang
1649,辅,fu
1650,惜,xi
1651,柜,gui
1652,肖,xiao
1653,颗,ke
1654,搏,bo
1655,氏,shi
1656,姑,gu
1657,弄,nong
1658,姜,jiang
1659,君,Jun
1660,舒,shu
1661,兑,dui
1662,宇,yu
1663,割,ge
1664,哲,zhe
1665,摘,zhai
1666,钦,qin
1667,逃,tao
1668,漠,mo
1669,忆,yi
1670,敌,di
1671,宿,xiu
1672,啊,a
1673,凌,ling
1674,耀,yao
1675,闯,chuang
1676,阅,yue
1677,贪,tan
1678,赤,chi
1679,汪,wang
1680,悲,bei
1681,抑,yi
1682,瓷,ci
1683,冯,feng
1684,厉,li
1685,粗,cu
1686,菲,fei
1687,琴,qin
1688,堡,bao
1689,斌,bin
1690,掘,jue
1691,稀,xi
1692,衰,shuai
1693,驾,jia
1694,雕,diao
1695,牢,lao
1696,氛,fen
1697,驱,qu
1698,妥,tuo
1699,悄,qiao
1700,郎,lang
1701,巡,xun
1702,臣,chen
1703,羽,yu
1704,灰,hui
1705,癌,ai
1706,颖,ying
1707,姆,mu
1708,漏,lou
1709,袭,xi
1710,贤,xian
1711,鸟,niao
1712,暗,an
1713,茂,mao
1714,孤,gu
1715,惩,cheng
1716,榜,bang
1717,袁,yuan
1718,桌,zhuo
1719,卓,zhuo
1720,傅,fu
1721,剑,jian
1722,堆,dui
1723,兆,zhao
1724,狠,hen
1725,轰,hong
1726,拳,quan
1727,妹,mei
1728,绒,rong
1729,裂,lie
1730,潘,pan
1731,兄,xiong
1732,洽,qia
1733,叹,tan
1734,涵,han
1735,贿,hui
1736,侯,hou
1737,岚,lan
1738,熊,xiong
1739,绪,xu
1740,阁,ge
1741,尾,wei
1742,碑,bei
1743,尖,jian
1744,腿,tui
